resource,api_version,method_suffix
pod,v1,pod
service,v1,service
deployment,apps_v1,deployment
statefulset,apps_v1,stateful_set
replicaset,apps_v1,replica_set
configmap,v1,config_map
secret,v1,secret
persistentvolume,v1,persistent_volume
persistentvolumeclaim,v1,persistent_volume_claim
ingress,networking_v1,ingress
networkpolicy,networking_v1,network_policy
job,batch_v1,job
cronjob,batch_v1,cron_job
namespace,v1,namespace
node,v1,node
serviceaccount,v1,service_account
resourcequota,v1,resource_quota
limitrange,v1,limit_range
endpoint,v1,endpoints
event,v1,event
horizontalpodautoscaler,autoscaling_v1,horizontal_pod_autoscaler
role,rbac_authorization_v1,role
rolebinding,rbac_authorization_v1,role_binding
clusterrole,rbac_authorization_v1,cluster_role
clusterrolebinding,rbac_authorization_v1,cluster_role_binding
storageclass,storage_v1,storage_class
volumeattachment,storage_v1,volume_attachment
csidriver,storage_v1,csi_driver
csinode,storage_v1,csi_node
csistoragecapacity,storage_v1,csi_storage_capacity
lease,coordination_v1,lease
priorityclass,scheduling_v1,priority_class
runtimeclass,node_v1,runtime_class
customresourcedefinition,apiextensions_v1,custom_resource_definition
apiservice,apiregistration_v1,api_service